Top 200 Frequent Keywords (Noun, Verb, Adj, Adv, Exclam)
======================================================
Rank  Word            Count
------------------------------
1     아               2075 
2     하다              2053 
3     되다              2037 
4     가다              1810 
5     유저              1313 
6     야               1003 
7     안               926  
8     아니              807  
9     있다              795  
10    다               730  
11    어               677  
12    오다              540  
13    진짜              536  
14    왜               530  
15    올라가다            512  
16    오케이             498  
17    자               495  
18    보다              425  
19    점프              406  
20    빨리              400  
21    같다              384  
22    그냥              381  
23    좀               350  
24    잘               340  
25    좋다              318  
26    먹다              317  
27    지금              314  
28    위               307  
29    없다              294  
30    더               286  
31    누르다             276  
32    이제              274  
33    죽다              269  
34    잠깐              268  
35    너무              267  
36    못               266  
37    앞               247  
38    밀다              247  
39    알다              242  
40    말               239  
41    왼쪽              222  
42    사람              214  
43    그렇지             209  
44    나오다             199  
45    밟다              192  
46    와               191  
47    맞다              186  
48    움직이다            186  
49    뒤               178  
50    또               174  
51    들어가다            173  
52    개               167  
53    새끼              159  
54    다시              158  
55    다음              153  
56    오른쪽             153  
57    내려가다            153  
58    바로              149  
59    그래              146  
60    뭐               145  
61    게임              143  
62    멈추다             141  
63    비키다             135  
64    때               132  
65    같이              132  
66    오               127  
67    일단              125  
68    막다              125  
69    올라오다            125  
70    나다              123  
71    먼저              117  
72    올리다             115  
73    제발              115  
74    가만히             114  
75    쏘다              113  
76    타다              112  
77    딱               109  
78    열쇠              108  
79    미안              108  
80    치다              107  
81    형               105  
82    모르다             105  
83    누나              103  
84    머리              102  
85    열다              102  
86    아니야             101  
87    깨다              99   
88    떨어지다            97   
89    기다리다            95   
90    가               94   
91    살다              93   
92    아래              91   
93    괜찮다             90   
94    살리다             89   
95    넘어가다            89   
96    내리다             88   
97    콩               85   
98    저               84   
99    내려오다            84   
100   천천히             84   
101   네               83   
102   아아아아아           83   
103   밑               83   
104   들어오다            82   
105   재밌다             82   
106   주다              82   
107   보이다             82   
108   야야              79   
109   뛰다              79   
110   계단              77   
111   끝               75   
112   쌓다              74   
113   아아              74   
114   공               74   
115   줄               72   
116   생각              71   
117   죽이다             70   
118   시작              70   
119   방금              69   
120   빠르다             68   
121   일로              68   
122   마지막             68   
123   문               67   
124   조심              66   
125   많이              66   
126   땡기다             66   
127   나가다             64   
128   아까              64   
129   예               63   
130   그러다             63   
131   조금              62   
132   만들다             62   
133   선행              62   
134   애기              62   
135   하하하             62   
136   미치다             62   
137   쓰다              61   
138   반응              61   
139   계속              60   
140   맞추다             60   
141   이렇게             60   
142   버리다             60   
143   아냐              56   
144   붙다              56   
145   시간              56   
146   아우              55   
147   발               55   
148   빨다              55   
149   끌다              55   
150   후추              55   
151   아이              55   
152   출발              54   
153   혼자              54   
154   쭉               54   
155   콩콩              54   
156   짝               53   
157   던지다             53   
158   많다              53   
159   보라색             53   
160   살짝              53   
161   님               52   
162   이기다             52   
163   아이고             51   
164   지나가다            51   
165   버튼              51   
166   들다              51   
167   빼다              50   
168   꺼지다             50   
169   윤               50   
170   애               50   
171   막               50   
172   오늘              50   
173   약간              49   
174   자리              49   
175   서다              49   
176   대가리             49   
177   저기              49   
178   그만              49   
179   피하다             49   
180   남다              49   
181   걸리다             49   
182   협동              48   
183   이번              48   
184   팀               47   
185   손               47   
186   준비              47   
187   까다              46   
188   하하하하            46   
189   자다              45   
190   넣다              44   
191   아아아             44   
192   아직              44   
193   아이씨             42   
194   집중              42   
195   아유              42   
196   보내다             42   
197   처음              42   
198   가운데             41   
199   제일              41   
200   이러다             41   
