문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
잘했다야	0	0	0	0	0	0	0	0	0	1
최고야	0	0	0	0	0	0	0	0	0	1
좋았다	0	0	0	0	0	0	0	0	0	1
고마워	0	0	0	0	0	0	0	0	0	1
멋있어	0	0	0	0	0	0	0	0	0	1
대박	0	0	0	0	0	0	0	0	0	1
나이스	0	0	0	0	0	0	0	0	0	1
굿잡	0	0	0	0	0	0	0	0	0	1
파이팅	0	0	0	0	0	0	0	0	0	1
화이팅	0	0	0	0	0	0	0	0	0	1
힘내	0	0	0	0	0	0	0	0	0	1
응원해	0	0	0	0	0	0	0	0	0	1
믿어	0	0	0	0	0	0	0	0	0	1
고생했어	0	0	0	0	0	0	0	0	0	1
수고했어	0	0	0	0	0	0	0	0	0	1
진짜 잘했어	0	0	0	0	0	0	0	0	0	1
너무 좋아	0	0	0	0	0	0	0	0	0	1
최고야 진짜	0	0	0	0	0	0	0	0	0	1
뽀뽀해줘	0	0	0	0	0	0	0	0	0	1
너무 멋있어	0	0	0	0	0	0	0	0	0	1
진짜 고마워	0	0	0	0	0	0	0	0	0	1
대박이야 진짜	0	0	0	0	0	0	0	0	0	1
너무 잘한다	0	0	0	0	0	0	0	0	0	1
진짜 최고다	0	0	0	0	0	0	0	0	0	1
힘내자 우리	0	0	0	0	0	0	0	0	0	1
잘될 거야	0	0	0	0	0	0	0	0	0	1
믿고 있어	0	0	0	0	0	0	0	0	0	1
수고 많았어	0	0	0	0	0	0	0	0	0	1
정말 고마워	0	0	0	0	0	0	0	0	0	1
완전 최고야	0	0	0	0	0	0	0	0	0	1
야 진짜 너무 잘했어	0	0	0	0	0	0	0	0	0	1
와 진짜 대박이다	0	0	0	0	0	0	0	0	0	1
진짜 최고야 너무	0	0	0	0	0	0	0	0	0	1
고마워 진짜 너무	0	0	0	0	0	0	0	0	0	1
너무 잘한다 진짜	0	0	0	0	0	0	0	0	0	1
믿고 있어 힘내	0	0	0	0	0	0	0	0	0	1
최고야 진짜 너무	0	0	0	0	0	0	0	0	0	1
와 이거 진짜 좋다	0	0	0	0	0	0	0	0	0	1
진짜 잘했어 너무	0	0	0	0	0	0	0	0	0	1
고생했어 진짜 수고했어	0	0	0	0	0	0	0	0	0	1
와 진짜 대박이다 너무 잘했어	0	0	0	0	0	0	0	0	0	1
진짜 최고야 너무 멋있어	0	0	0	0	0	0	0	0	0	1
고마워 정말 너무 감사해	0	0	0	0	0	0	0	0	0	1
와 너무 잘한다 진짜 대박	0	0	0	0	0	0	0	0	0	1
