threshold,Baseline,LoRA v2 KcELECTRA,LoRA v2 kcbert,Full v2 KcELECTRA,Full v2 kcbert,LoRA v1 KcELECTRA,LoRA v1 kcbert,Full v1 KcELECTRA,Full v1 kcbert
0.1,79.58,78.14,74.55,82.95,85.23,78.96,76.49,69.99,82.4
0.15,81.19,80.95,77.47,86.89,86.71,81.47,81.15,80.99,81.59
0.2,81.28,82.01,79.8,88.63,85.66,83.36,82.29,82.4,80.51
0.25,79.73,84.89,81.04,89.49,85.32,84.05,83.46,84.71,79.74
0.3,79.18,84.56,81.43,88.93,85.43,84.66,82.83,83.0,78.22
0.35,77.65,85.45,81.44,89.52,85.66,85.26,82.57,83.82,78.03
0.4,76.56,86.76,82.87,89.07,84.66,84.95,82.03,84.62,77.27
0.45,75.31,86.84,82.89,88.34,84.54,85.12,80.78,84.16,77.52
0.5,73.95,87.9,83.27,87.78,84.82,85.41,80.96,81.8,77.42
0.55,72.91,88.11,83.37,87.87,84.21,84.03,80.63,81.01,76.81
0.6,72.26,88.1,83.33,87.34,83.58,83.78,79.63,81.02,75.71
0.65,70.28,88.32,82.92,87.23,83.51,83.11,78.42,77.4,75.48
0.7,67.9,87.45,82.58,86.58,82.68,81.12,77.03,74.31,74.82
0.75,66.67,85.97,81.24,86.47,83.08,76.77,74.07,68.78,73.63
0.8,59.89,85.32,77.46,85.13,82.54,74.37,71.1,14.93,71.57
0.85,50.6,82.63,74.69,71.13,81.22,69.97,64.67,0.0,70.13
0.9,21.58,77.04,68.95,0.0,74.5,64.11,50.9,0.0,57.71
