Label_KO,Label_EN,Orig_Precision,Orig_Recall,Orig_F1,Quant_Precision,Quant_Recall,Quant_F1
여성/가족,Gender,0.0,0.0,0.0,0.0,0.0,0.0
남성,Male,0.0,0.0,0.0,0.0,0.0,0.0
성소수자,LGBTQ,0.0,0.0,0.0,0.0,0.0,0.0
인종/국적,Race,0.0,0.0,0.0,0.0,0.0,0.0
연령,Age,0.0,0.0,0.0,0.0,0.0,0.0
지역,Region,0.0,0.0,0.0,0.0,0.0,0.0
종교,Religion,0.0,0.0,0.0,0.0,0.0,0.0
기타 혐오,Etc,0.0,0.0,0.0,0.0,0.0,0.0
악플/욕설,Abuse,0.9357798165137615,0.8793103448275862,0.9066666666666666,0.9357798165137615,0.8793103448275862,0.9066666666666666
clean,Clean,0.8441558441558441,0.9154929577464789,0.8783783783783784,0.8441558441558441,0.9154929577464789,0.8783783783783784
