label,version,precision,recall,f1,support
여성/가족,Original,0.0,0.0,0.0,0
여성/가족,INT8 Dynamic,0.0,0.0,0.0,0
여성/가족,FP16,0.0,0.0,0.0,0
남성,Original,0.0,0.0,0.0,0
남성,INT8 Dynamic,0.0,0.0,0.0,0
남성,FP16,0.0,0.0,0.0,0
성소수자,Original,0.0,0.0,0.0,0
성소수자,INT8 Dynamic,0.0,0.0,0.0,0
성소수자,FP16,0.0,0.0,0.0,0
인종/국적,Original,0.0,0.0,0.0,0
인종/국적,INT8 Dynamic,0.0,0.0,0.0,0
인종/국적,FP16,0.0,0.0,0.0,0
연령,Original,0.0,0.0,0.0,0
연령,INT8 Dynamic,0.0,0.0,0.0,0
연령,FP16,0.0,0.0,0.0,0
지역,Original,0.0,0.0,0.0,0
지역,INT8 Dynamic,0.0,0.0,0.0,0
지역,FP16,0.0,0.0,0.0,0
종교,Original,0.0,0.0,0.0,0
종교,INT8 Dynamic,0.0,0.0,0.0,0
종교,FP16,0.0,0.0,0.0,0
기타 혐오,Original,0.0,0.0,0.0,0
기타 혐오,INT8 Dynamic,0.0,0.0,0.0,0
기타 혐오,FP16,0.0,0.0,0.0,0
악플/욕설,Original,0.9013,0.8468,0.8732,248
악플/욕설,INT8 Dynamic,0.9721,0.7016,0.815,248
악플/욕설,FP16,0.9013,0.8468,0.8732,248
clean,Original,0.856,0.9145,0.8843,234
clean,INT8 Dynamic,0.771,0.9786,0.8625,234
clean,FP16,0.856,0.9145,0.8843,234
