threshold,precision,recall,f1
0.1,0.6667,0.9677,0.7895
0.12,0.7276,0.9476,0.8231
0.14,0.7864,0.9355,0.8545
0.16,0.8376,0.9153,0.8748
0.18,0.8566,0.8911,0.8735
0.2,0.8785,0.875,0.8768
0.22,0.8838,0.8589,0.8712
0.24,0.9103,0.8589,0.8838
0.26,0.9217,0.8548,0.887
0.28,0.9286,0.8387,0.8814
0.3,0.9283,0.8347,0.879
0.32,0.9364,0.8306,0.8803
0.34,0.9398,0.8185,0.875
0.36,0.9481,0.8105,0.8739
0.38,0.9507,0.7782,0.8559
0.4,0.9545,0.7621,0.8475
0.42,0.9538,0.75,0.8397
0.44,0.963,0.7339,0.833
0.46,0.9672,0.7137,0.8213
0.48,0.9667,0.7016,0.8131
0.5,0.9721,0.7016,0.815
0.52,0.977,0.6855,0.8057
0.54,0.977,0.6855,0.8057
0.56,0.9766,0.6734,0.7971
0.58,0.9879,0.6573,0.7893
0.6,0.9878,0.6532,0.7864
0.62,0.9873,0.629,0.7685
0.64,0.9868,0.6048,0.75
0.66,0.9862,0.5766,0.7277
0.68,0.9857,0.5565,0.7113
0.7,0.9843,0.504,0.6667
0.72,1.0,0.4597,0.6298
0.74,1.0,0.3952,0.5665
0.76,1.0,0.3226,0.4878
0.78,1.0,0.2258,0.3684
0.8,1.0,0.125,0.2222
0.82,1.0,0.0565,0.1069
0.84,1.0,0.0121,0.0239
0.86,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.9,0.0,0.0,0.0
