label,timestamp,d4to5,d4to8,d4to12,d4to15,d4to16,d4to19,d4to20,m4_8,m4_12,m4_16,m4_20,m8_4,m8_12,m8_16,m8_20,m12_4,m12_8,m12_16,m12_20,m16_4,m16_8,m16_12,m16_20,m20_4,m20_8,m20_12,m20_16,thumb_ext,index_ext,middle_ext,ring_ext,pinky_ext
왼볼 구부린 콕,오후 2:30:03,0.5981,0.6338,0.3171,0.3135,0.4079,0.4087,0.4841,0.6338,0.3171,0.4079,0.4841,0.6338,0.8560,0.9373,1.0244,0.3171,0.8560,0.0938,0.1803,0.4079,0.9373,0.0938,0.1148,0.4841,1.0244,0.1803,0.1148,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:04,0.5896,0.6321,0.3251,0.3112,0.4180,0.4038,0.4894,0.6321,0.3251,0.4180,0.4894,0.6321,0.8448,0.9211,1.0130,0.3251,0.8448,0.0934,0.1938,0.4180,0.9211,0.0934,0.1269,0.4894,1.0130,0.1938,0.1269,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:04,0.5919,0.6008,0.3249,0.3175,0.4161,0.4190,0.4996,0.6008,0.3249,0.4161,0.4996,0.6008,0.8115,0.8996,0.9982,0.3249,0.8115,0.0946,0.2046,0.4161,0.8996,0.0946,0.1302,0.4996,0.9982,0.2046,0.1302,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:05,0.5964,0.5671,0.2747,0.2853,0.3585,0.3928,0.4569,0.5671,0.2747,0.3585,0.4569,0.5671,0.7519,0.8463,0.9558,0.2747,0.7519,0.0968,0.2078,0.3585,0.8463,0.0968,0.1255,0.4569,0.9558,0.2078,0.1255,1,0,0,0,0
왼볼 구부린 콕,오후 2:30:05,0.6067,0.6340,0.2671,0.2781,0.3486,0.3923,0.4470,0.6340,0.2671,0.3486,0.4470,0.6340,0.7992,0.8916,1.0052,0.2671,0.7992,0.0937,0.2170,0.3486,0.8916,0.0937,0.1382,0.4470,1.0052,0.2170,0.1382,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:06,0.6677,0.7125,0.2862,0.2912,0.3650,0.4146,0.4753,0.7125,0.2862,0.3650,0.4753,0.7125,0.8413,0.9503,1.0827,0.2862,0.8413,0.1099,0.2513,0.3650,0.9503,0.1099,0.1597,0.4753,1.0827,0.2513,0.1597,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:07,0.6200,0.6454,0.2847,0.2991,0.3737,0.4234,0.4797,0.6454,0.2847,0.3737,0.4797,0.6454,0.8254,0.9210,1.0361,0.2847,0.8254,0.1001,0.2199,0.3737,0.9210,0.1001,0.1409,0.4797,1.0361,0.2199,0.1409,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:07,0.6002,0.6356,0.3230,0.3142,0.4023,0.3971,0.4688,0.6356,0.3230,0.4023,0.4688,0.6356,0.8501,0.9342,1.0177,0.3230,0.8501,0.0868,0.1760,0.4023,0.9342,0.0868,0.1084,0.4688,1.0177,0.1760,0.1084,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:08,0.5880,0.6678,0.2841,0.3035,0.3733,0.4217,0.4747,0.6678,0.2841,0.3733,0.4747,0.6678,0.8579,0.9521,1.0614,0.2841,0.8579,0.0987,0.2136,0.3733,0.9521,0.0987,0.1377,0.4747,1.0614,0.2136,0.1377,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:09,0.6288,0.6998,0.2593,0.2872,0.3565,0.3976,0.4572,0.6998,0.2593,0.3565,0.4572,0.6998,0.8550,0.9610,1.0851,0.2593,0.8550,0.1097,0.2336,0.3565,0.9610,0.1097,0.1378,0.4572,1.0851,0.2336,0.1378,1,1,0,0,0
