text,label,keyword_found
야 비켜 아 진짜 짜증나,1,아 진짜
아 진짜 역하다,1,아 진짜
아 미안해 다조나 데리고 가죠?,1,안해
아 진짜 생일이 생일빵 받고 싶어?,1,아 진짜
야 미안해,1,안해
미안해 미안해 당신 차례지 당신 차례 그렇지 쭉 가 쭉 가 내가 할게,1,안해
아 이거를 누나가 머리 막아줘,1,나가
"아, 미안해.",1,안해
멍청해 멍청해가지고 미안해 미안해 내가 바로 그 말이야 밀지마,1,안해
아 진짜 개웃기네,1,아 진짜
아아아아아아 아 잠깐만 아 우주같이 아아아아아아아아 아아아아아아 아아아아아아 어허 하아 아 진짜 안들어,1,아 진짜
망했다!,1,망했
점프해 저 안 밟기만 하면 될거같아 지나가 지나가 떨어지지 말고 떨어지지 말고 발판해줄게 발판해줄게 움직이고 싶어 움직이고 싶어 기다려 기다려 기다려 발판해줄게 발판해줄게 지나가 기다려 움직이면 안돼,1,나가
야 진짜 야 들어갈 때까지 나와주지마 벽 세워 들어갈 때까지 아 진짜 나빴어,1,아 진짜
나 올라갔다 올라와 형준 누나가 쟤네들 죽일게 기다려봐 폭탄 터트릴게,1,나가
아 진짜 친해,1,아 진짜
이게 점프를 하네 스페이스 누르면 앞으로 점프를 하고 잠깐 미안해,1,안해
우리를 위해서 어 하다가 하다가 아 저거 안전하게 아우 미안해,1,안해
진짜 뭐하냐!,1,뭐하냐
자 한 번 버티면서 살짝 보면 일부러 갔어.,1,일부러
이거 양띵 누나가 봐야 되는 건데 나도 가야 돼,1,나가
아 진짜 0초 진짜 재밌다 1초에 맞추고 싶어하는 아이야,1,아 진짜
아아 주다 미안해,1,안해
미안해요,1,안해
아 오케이 우와 영환아 아 진짜 나 왜 나 너무 빨리 막 그거 한다고 뭐하는 거야,1,아 진짜
아 진짜 콩콩 개..,1,아 진짜
아 진짜 후추 뭐해?,1,아 진짜
안해도돼?,1,안해
왜 저렇게 다 나가지고 저렇게 됐어.,1,나가
김치가 나가는게 맞아,1,나가
환장한다.,1,환장
누나가 머리로 막아봐 그 길을 내가?,1,나가
뭔가 이상해 일부러 누군가가 떨어트리는 거 같은데?,1,일부러
미안해 안돼 1대1 1대1 오리고기 오리고기 다운 오리고기 다운 아!,1,안해
지나가요,1,나가
자 얘들아 해라 형 어때 나의 환상적인 작품 이때면 내가 망했어,1,망했
아니 둘이 뭐하냐고.,1,뭐하냐
와 일부러 그러네,1,일부러
아니 왜 이렇게 아시작을 안해,1,안해
크게 해서 하면 못 지나가잖아.,1,나가
맵파 맵파 맵파 맵파 맵파 아아아아아아 미안해 미안해,1,안해
멋있다 양띵 누나가 퍼스트야 안줄보 상식이 자존심있어서 아래가고싶어한다,1,나가
그리고 다 지나가고 이거 나다 잠깐만 야 야 삼식아 너 어?,1,나가
알았으니까 나가라 안돼,1,나가
야 둘이 뭐하냐.,1,뭐하냐
자 이렇게 해서 피코파크 8인 8과 8명이 몸이 하나가 되어야 깰 수 있는 미션 게임 여기서 끝내도록 하겠습니다.,1,나가
컨트롤 컨트롤 미세 컨트롤 오 됐다,1,트롤
아 진짜 못해,1,아 진짜
후치 5천원 에이 아니야 억지 억지 억지 억간이은 진짜 고이트롤 한 사람만 내야 되니까 이렇게 6개를 해야 되는 거야,1,트롤
내가 미안해,1,안해
아 빨리 넣어 아이씨 아 진짜 콩콩간다는 뭐야,1,아 진짜
안에 애들 꺼내고 나가자 각자의 위치로 각자의 위치로 가지고 노란색 너 어디가 너의 위치를 찾아 정신차려,1,나가
컨트롤 눌러봐봐,1,트롤
일부러 벗겄어.,1,일부러
아 진짜 아니라고 아니 괜찮아,1,아 진짜
"아니 케찹 마요네즈 잡아줘 오 됐다 하나 고쳐 하나 고쳐 편안해, 반대로.",1,안해
타이밍 좋다 내려갈게 아아아아아아악 아 진짜 와 근데 진짜 방금 나 취했어,1,아 진짜
나 궁금한거 있는데 이거 업데이트해서 안해주겠지?,1,안해
이거 내려서 통나무 오지 통나무 쌓여 여기 지나가버려 쌓여 오케이 야,1,나가
컨트롤 이슈다.,1,트롤
"아, 밟은 상태로 지나가야 되나?",1,나가
아 진짜.,1,아 진짜
지금 나가!,1,나가
내가 먼저 나가면 돼.,1,나가
아 진짜 머리필이 벗어졌다고 저 인스탈이 아 죽었네 생각해보니까 드디어 드디어 한밤 지하를 연결한 연서 아 짜증나,1,아 진짜
"순서 정해야 될 것 같은데 선정하자 선정하자 루테부터 야 나이 순으로 해 나이 순으로 아니면 크루데이 순서 자기 번호로 불러줄게 루테 1번, 타린 2번, 콩콩 3번, 아진 4번, 타린 5번, 그리고 룬콩 6번, 루프츠 7번, 냥띵 8번 1번 루테 간다 준비 시작 1, 2, 3, 4 뭐하냐",1,뭐하냐
아 진짜 이거 협동게임 야 후추 메디가 빨리 후후 내려가게 아니 누가 발판서 후추님을 메디로 올려 가자 올라가 올라가 좋아 최고의 자리가 아니 왜 안왔어,1,아 진짜
미안해 미안해 도망가!,1,안해
야 야 야 야 야 생각을 해보자x2 우리 콩이 어떻게 나가야 되는데?,1,나가
아 진짜 처음 하는 거야?,1,아 진짜
미안해 미안해 미안해!,1,안해
야 나가 나가!,1,나가
아 진짜요?,1,아 진짜
어 밀어 밀어 밀어 밀어 밀어 밀어 밀어 밀어 밀어 밀러오라으세요 제발 아 이거 답답해 죽겠네,1,답답해
아 진짜 생일이라고 막 하네,1,아 진짜
진짜 답답해 죽겠네,1,답답해
바보들아 도망치면 도망이야 안해,1,안해
"야, 이거 사람들이 환장해.",1,환장
팀플이 내 혈압을 찢었다고?,1,혈압
아 진짜 coaster로 이러면은...,1,아 진짜
야 어디가냐고 어디가냐고 야 여기서 T자에서 와리가리 치다가 얘가 오른쪽 지나가면은 우리가 따라가야돼,1,나가
노랑이 너무 불안해.,1,안해
아 진짜 아 어쩜 줬냐,1,아 진짜
지금 그거 기어 세컨드이 피엔 피엔 피엔 정신이 나가버렸어,1,나가
이거 망했어,1,망했
빨리 나가 빨리 나가 가자 빙고 야,1,나가
아 진짜 노잼.,1,아 진짜
지나가 지나가 지나가 비켜 비켜 아 이거 아 이거 내 위에 점프할라는데 왜?,1,나가
아 진짜 아 아프겠다,1,아 진짜
미안해!,1,안해
아 나 진짜 미치겠네?,1,미치겠네
아 진짜 조심하다 진짜로 아 진짜 조심하다 멍청하다,1,아 진짜
아 진짜 한승주 야 이거 어떻게 나와 다시 아 진짜 이쁘다,1,아 진짜
리액션이 먼저 지나가는 놈이 어딨어!,1,나가
이거 연결 안되는데 아 진짜 와 아 이거 그거다 이거 범인찾기 한다,1,아 진짜
어휴 잘했다만 아니 저희는 이 정도 그냥 기본으로 해요 그래 그래 그냥..,1,어휴
미안해,1,안해
그래서 앞에 1번부터 5번까지 다 눌러줘 보자 일단 모든 버튼 다 누르자 왼쪽 점프 다 눌러 그리고 눈꽃형이 컨트롤 나 안 누르고 있는데?,1,트롤
하나가 저거 밀고 가봐,1,나가
야 너 나가!,1,나가
오케이 아 진짜 아깝다,1,아 진짜
오케이 오케이 오케이 안 피 피했지롱 아 망했네 누나 나 덕혜 조금만 버텨봐 누나가 수현아 올라가자 야 우린 살자아 Lead 우리 같이 살자 흑의기자아 흑의기자아 흑의기자아 난 주워어 흑의기자아 난 주워어 수연아 살아야 돼,1,나가
나다다다니 미안해 하는 거 미안해가 나온다고?,1,안해
미안해 라더야 날려야 돼,1,안해
안되나 딱 그 생각이 아 진짜로 잠깐만요 네 한번 더요 에이 아 진짜 여기 정자조심 정자조심 정자?,1,아 진짜
아 진짜 일부러 그러네,1,아 진짜
으으아아아어 어휴 제가 먼저 내려가 볼게요,1,어휴
아 진짜!,1,아 진짜
야 야 야 담식이 축구하더니 볼 컨트롤 장난 아니다 ㅋㅋ,1,트롤
컨트롤 이슈 레전드야.,1,트롤
너 뭐하냐?,1,뭐하냐
너 누가 나 밀었네 파이팅 이거 누나가 누나가 내가 내가 내가 뭐하냐고 됐다,1,뭐하냐
아 진짜 아 진짜 아 미안 아 미안 이거는 야 피 회복 되는 거 아니었어,1,아 진짜
니네 어우 진짜 지하 성격 끝판왕 어우 진짜 답답해,1,답답해
하하하하하하 진짜 오드망정 호들갑 개쩌네 그냥 뭐하냐?,1,뭐하냐
됐쨘 빡구 빡구 빡구 미세한 컨트롤 이게 래피드 트리거 킥보드를 사용중이기 때문에 4마리 베르그 메리에 위로 올라갔다 빨리들어 빨리들어 나와 이새끼야 짠 아오 쉬운데 마지막 스킬 레지언드 4-4 렛츠기릿 야야 기다려 마이너스 줄이고 줄이고 야야 존나 커졌네,1,트롤
못 지나가,1,나가
빨리 왼쪽 가 왼쪽 가 왼쪽 가 으아아아아아 으아아아아아아 하나 둘 셋 아 진짜 한번에 하나 하나 둘 셋 너무 급해,1,아 진짜
가리기 가리기 가리기 나도 사진 으아아아 으에엥 으에엥 아이씨 뱃살 야 우리 땅게임 또 해보자 뱃살판치 방 나가서 땅게임 해볼게,1,나가
아우 답답해 잠깐만 이렇게 가면 된다니까 아온이 당나귀야?,1,답답해
아 진짜야!,1,아 진짜
망했어 conoc thief 야,1,망했
이거 먹으니까 아 기면증 아 진짜 님들 저 체력이 다 엎어져요,1,아 진짜
오른쪽봐 으아아아아아악 지나가 지나가 지나가 내가 볼게 무서워 무서워,1,나가
"아, 미안해!",1,안해
아니 코인 세계 몸몸에 안 나가죠,1,나가
아 진짜 없어?,1,아 진짜
아니야 방금 내 앞에서 하나가 터졌는데 살아있어 오케이 다 깨는건가?,1,나가
아 진짜 꺼지라고 김우추 새끼 그쵸 원망 나 내가 어떻게든 맞출게,1,아 진짜
아 진짜 진짜 속도가 일부러 오르네.,1,아 진짜
이거 그럼 밟고 지나가는 게 맞는 거 같은데 이렇게 와,1,나가
제발 좀 가!,1,제발 좀
오 나이스 지나가요,1,나가
아 진짜 이빨 다 뺍니다,1,아 진짜
"나가, 인마.",1,나가
아아 아 왜저래 죽었어?,1,왜저래
아이씨 야 한 줄 한 줄 한 줄 한 줄 한 줄 한 줄 지나가요!,1,나가
아 진짜 야 장훈이를 왜 마지막 게임에 안 물어봤어?,1,아 진짜
한 번 더 한 번 더 반응해 줄게 반응해 줄게 반응해 줄게 매파 반응할 준비 반응할 준비 아아 아 미안해,1,안해
아 진짜 운없다!,1,아 진짜
가까이 있으면 안 나가,1,나가
아 못 지나가 너 어차피 우리 지금 둘이 다 길막하고 있어,1,나가
그걸 혼자 지나가면은 뭐야.,1,나가
뭐하냐?,1,뭐하냐
뭐하냐!,1,뭐하냐
어 미안해,1,안해
"아, 저 새끼 또 지나가네.",1,나가
아 진짜 깨자 깨고 가자,1,아 진짜
아 진짜 밑에 저거 블럭 있는거 됐다 역시 역시 게임은 질병이야 굿 게임은 질병이야 게임은 질병이야,1,아 진짜
아 진짜 왜 또 파란데기야 이새끼 아 이새끼 뭐야,1,아 진짜
"아 진짜 김윤료, 우와.",1,아 진짜
야야야 어디 잡아 자꾸 야 나가자 나가자 야 가자 나가자 야 자 개 따라와 야 한설아 얘 좀 제대로 지켜봐,1,나가
너 때문에 너 때문에 넣은 룰이야,1,너 때문에
나 태우고 가 망했다,1,망했
그래 나 왼쪽 보고 있을게 아니 한 명이 컨트롤 되겠네,1,트롤
아 진짜 이거를?,1,아 진짜
아 진짜 아 저렇게 뒤로 와..,1,아 진짜
자 지금부터 틀린사람 손 높게 들어서 그대로 뺨으로 내려치기 나 실수 절대 안해,1,안해
